timestamp,status,latency_ms
1786831481.1269221,200,5669.5709228515625
1786831481.1134157,200,5802.43182182312
1786831481.0886366,200,5923.778772354126
1786831481.090192,200,5943.9897537231445
1786831481.1190033,200,5934.217214584351
1786831481.0916233,200,5976.9768714904785
1786831481.1223533,200,5952.9924392700195
1786831481.0908184,200,5988.007307052612
1786831481.0925138,200,5987.969636917114
1786831481.1242049,200,5957.190990447998
1786831481.109742,200,5977.469682693481
1786831481.089511,200,5998.930215835571
1786831481.1366546,200,5953.030109405518
1786831481.0939336,200,6001.906633377075
1786831481.1305957,200,5966.097354888916
1786831481.1536913,200,6037.008047103882
1786831481.144063,200,6047.521591186523
1786831481.1474075,200,6049.3035316467285
1786831481.1557062,200,6523.325681686401
1786831481.1424901,200,6537.757873535156
1786831481.1455514,200,6535.968065261841
1786831481.1805267,ERROR:ReadTimeout,10012.678861618042
1786831481.1591103,ERROR:ReadTimeout,10049.471139907837
1786831481.1874714,ERROR:ReadTimeout,10021.54278755188
1786831481.1853626,ERROR:ReadTimeout,10023.987293243408
1786831481.1941924,ERROR:ReadTimeout,10025.593280792236
1786831481.1970153,ERROR:ReadTimeout,10023.250579833984
1786831481.2002335,ERROR:ReadTimeout,10020.427465438843
1786831481.2024508,ERROR:ReadTimeout,10019.238233566284
1786831481.2062707,ERROR:ReadTimeout,10015.794277191162
1786831481.2138867,ERROR:ReadTimeout,10021.94356918335
1786831481.218479,ERROR:ReadTimeout,10029.536485671997
1786831481.2225635,ERROR:ReadTimeout,10027.530908584595
1786831481.2291865,ERROR:ReadTimeout,10023.116111755371
1786831481.2374465,ERROR:ReadTimeout,10016.412258148193
1786831481.2425058,ERROR:ReadTimeout,10011.82746887207
1786831481.2273736,ERROR:ReadTimeout,10032.732963562012
1786831481.2478683,ERROR:ReadTimeout,10021.849632263184
1786831481.2501023,ERROR:ReadTimeout,10020.000457763672
1786831481.2417073,ERROR:ReadTimeout,10038.090467453003
1786831481.2513666,ERROR:ReadTimeout,10030.04240989685
1786831481.2614298,ERROR:ReadTimeout,10021.257638931274
1786831481.2537518,ERROR:ReadTimeout,10029.309034347534
1786831481.2552278,ERROR:ReadTimeout,10028.292655944824
1786831481.2844439,ERROR:ReadTimeout,10011.417150497437
1786831481.273656,ERROR:ReadTimeout,10023.138284683228
1786831481.276586,ERROR:ReadTimeout,10020.816326141357
1786831481.2805204,ERROR:ReadTimeout,10019.423961639404
1786831481.2716038,ERROR:ReadTimeout,10028.750896453857
1786831481.2908566,ERROR:ReadTimeout,10022.810459136963
1786831486.796509,ERROR:ReadTimeout,10006.311178207397
1786831486.9158685,ERROR:ReadTimeout,10015.562534332275
1786831487.0341914,ERROR:ReadTimeout,10016.478300094604
1786831487.0124283,ERROR:ReadTimeout,10038.709878921509
1786831487.0532286,ERROR:ReadTimeout,10006.291389465332
1786831487.0686116,ERROR:ReadTimeout,10014.520645141602
1786831487.075356,ERROR:ReadTimeout,10016.90697669983
1786831487.0788321,ERROR:ReadTimeout,10013.71169090271
1786831487.0804892,ERROR:ReadTimeout,10014.236688613892
1786831487.0896924,ERROR:ReadTimeout,10014.030933380127
1786831487.0814047,ERROR:ReadTimeout,10022.645473480225
1786831487.0872245,ERROR:ReadTimeout,10017.224311828613
1786831487.0884523,ERROR:ReadTimeout,10016.200065612793
1786831487.095846,ERROR:ReadTimeout,10009.711503982544
1786831487.0966969,ERROR:ReadTimeout,10019.602060317993
1786831487.190706,ERROR:ReadTimeout,10011.725902557373
1786831487.1915934,ERROR:ReadTimeout,10011.134386062622
1786831487.1967185,ERROR:ReadTimeout,10006.216049194336
1786831487.680252,ERROR:ReadTimeout,10009.099960327148
1786831487.679041,ERROR:ReadTimeout,10010.904550552368
1786831487.681523,ERROR:ReadTimeout,10008.883714675903
1786831491.193222,ERROR:ReadTimeout,10006.839752197266
1786831491.20859,ERROR:ReadTimeout,10019.826889038086
1786831491.209021,ERROR:ReadTimeout,10019.86575126648
1786831491.2093568,ERROR:ReadTimeout,10019.977807998657
1786831491.220272,ERROR:ReadTimeout,10024.317502975464
1786831491.2220733,ERROR:ReadTimeout,10023.214340209961
1786831491.2216973,ERROR:ReadTimeout,10025.537729263306
1786831491.2206683,ERROR:ReadTimeout,10027.87971496582
1786831491.2197971,ERROR:ReadTimeout,10029.316186904907
1786831491.2358413,ERROR:ReadTimeout,10024.259328842163
1786831491.252316,ERROR:ReadTimeout,10015.240669250488
1786831491.254342,ERROR:ReadTimeout,10013.888597488403
1786831491.250113,ERROR:ReadTimeout,10018.656253814697
1786831491.2601166,ERROR:ReadTimeout,10009.097814559937
1786831491.25387,ERROR:ReadTimeout,10016.997814178467
1786831491.2480264,ERROR:ReadTimeout,10023.183584213257
1786831491.269727,ERROR:ReadTimeout,10016.573667526245
1786831491.270109,ERROR:ReadTimeout,10016.849279403687
1786831501.2001097,ERROR:ConnectionError,87.24713325500488
1786831491.2814174,ERROR:ReadTimeout,10026.329278945923
1786831491.283068,ERROR:ReadTimeout,10025.184392929077
1786831491.279812,ERROR:ReadTimeout,10039.4766330719
1786831491.282698,ERROR:ReadTimeout,10037.837266921997
1786831491.2835264,ERROR:ReadTimeout,10037.948369979858
1786831491.2974098,ERROR:ReadTimeout,10024.463891983032
1786831491.3003635,ERROR:ReadTimeout,10021.865367889404
1786831491.2968025,ERROR:ReadTimeout,10026.16572380066
1786831491.2999551,ERROR:ReadTimeout,10023.42939376831
1786831491.295873,ERROR:ReadTimeout,10029.624223709106
1786831491.3136773,ERROR:ReadTimeout,10015.286207199097
1786831501.2284253,ERROR:ConnectionError,115.12970924377441
1786831501.2293444,ERROR:ConnectionError,116.58143997192383
1786831501.2288973,ERROR:ConnectionError,123.48508834838867
1786831501.2452986,ERROR:ConnectionError,110.93330383300781
1786831501.2485552,ERROR:ConnectionError,115.41366577148438
1786831501.2472432,ERROR:ConnectionError,135.8182430267334
1786831501.24912,ERROR:ConnectionError,136.3973617553711
1786831501.244601,ERROR:ConnectionError,152.3895263671875
1786831501.2687757,ERROR:ConnectionError,137.39252090454102
1786831501.2675645,ERROR:ConnectionError,139.19830322265625
1786831501.260115,ERROR:ConnectionError,149.8124599456787
1786831501.2682388,ERROR:ConnectionError,147.19486236572266
1786831501.2708747,ERROR:ConnectionError,157.81307220458984
1786831501.2692213,ERROR:ConnectionError,161.65900230407715
1786831501.287362,ERROR:ConnectionError,145.1249122619629
1786831501.2712157,ERROR:ConnectionError,162.6584529876709
1786831501.2863128,ERROR:ConnectionError,151.8850326538086
1786831501.2869666,ERROR:ConnectionError,154.79063987731934
1786831501.3077598,ERROR:ConnectionError,134.5815658569336
1786831501.3205469,ERROR:ConnectionError,126.17778778076172
1786831501.3082607,ERROR:ConnectionError,143.25189590454102
1786831501.3214836,ERROR:ConnectionError,131.2117576599121
1786831501.319309,ERROR:ConnectionError,142.95196533203125
1786831501.3222344,ERROR:ConnectionError,142.72761344909668
1786831501.3289728,ERROR:ConnectionError,138.49949836730957
1786831501.321884,ERROR:ConnectionError,149.02114868164062
1786831501.3229766,ERROR:ConnectionError,148.29421043395996
1786831501.3255057,ERROR:ConnectionError,149.7781276702881
1786831501.3233905,ERROR:ConnectionError,154.84619140625
1786831501.3435662,ERROR:ConnectionError,143.87011528015137
1786831501.3459356,ERROR:ConnectionError,148.86069297790527
1786831501.3523917,ERROR:ConnectionError,147.89605140686035
1786831501.3562412,ERROR:ConnectionError,146.41904830932617
1786831501.3639803,ERROR:ConnectionError,146.09456062316895
1786831501.3830776,ERROR:ConnectionError,138.1552219390869
1786831501.3970094,ERROR:ConnectionError,125.64635276794434
1786831501.3855262,ERROR:ConnectionError,139.68920707702637
1786831501.4067705,ERROR:ConnectionError,120.6214427947998
1786831501.4061782,ERROR:ConnectionError,131.48069381713867
1786831501.4154491,ERROR:ConnectionError,125.79154968261719
1786831501.4287007,ERROR:ConnectionError,113.32130432128906
1786831501.4099374,ERROR:ConnectionError,137.8939151763916
1786831501.4324949,ERROR:ConnectionError,118.01385879516602
1786831501.4308882,ERROR:ConnectionError,121.76918983459473
1786831501.4338813,ERROR:ConnectionError,125.23484230041504
1786831501.4417694,ERROR:ConnectionError,121.18172645568848
1786831501.4423509,ERROR:ConnectionError,122.22862243652344
1786831501.4527037,ERROR:ConnectionError,120.40424346923828
1786831501.4382236,ERROR:ConnectionError,138.82827758789062
1786831501.4515219,ERROR:ConnectionError,129.5933723449707
1786831501.4622722,ERROR:ConnectionError,120.18537521362305
1786831501.4674811,ERROR:ConnectionError,128.35049629211426
1786831501.4467373,ERROR:ConnectionError,151.77273750305176
1786831501.4709113,ERROR:ConnectionError,128.45993041992188
1786831501.471276,ERROR:ConnectionError,130.6767463684082
1786831501.464978,ERROR:ConnectionError,140.09547233581543
1786831501.4752965,ERROR:ConnectionError,136.92283630371094
1786831501.478244,ERROR:ConnectionError,136.73114776611328
1786831501.4874454,ERROR:ConnectionError,133.39734077453613
1786831501.4948225,ERROR:ConnectionError,129.58335876464844
1786831501.5002985,ERROR:ConnectionError,124.86410140991211
1786831501.50267,ERROR:ConnectionError,123.00562858581543
1786831501.5100846,ERROR:ConnectionError,117.40779876708984
1786831501.5212436,ERROR:ConnectionError,113.40880393981934
1786831501.5252292,ERROR:ConnectionError,110.41402816772461
1786831501.527398,ERROR:ConnectionError,110.35466194152832
1786831501.5376709,ERROR:ConnectionError,109.3299388885498
1786831501.5478406,ERROR:ConnectionError,101.91202163696289
1786831501.5420306,ERROR:ConnectionError,109.54904556274414
1786831501.5412505,ERROR:ConnectionError,110.97979545593262
1786831501.5226624,ERROR:ConnectionError,135.96177101135254
1786831501.552665,ERROR:ConnectionError,107.55610466003418
1786831501.550516,ERROR:ConnectionError,116.4703369140625
1786831501.5645895,ERROR:ConnectionError,107.08212852478027
1786831501.5630147,ERROR:ConnectionError,110.20207405090332
1786831501.5591307,ERROR:ConnectionError,116.63699150085449
1786831501.5731266,ERROR:ConnectionError,106.09292984008789
1786831501.5811234,ERROR:ConnectionError,100.12507438659668
1786831501.5958405,ERROR:ConnectionError,88.3171558380127
1786831501.577064,ERROR:ConnectionError,111.78946495056152
1786831501.582468,ERROR:ConnectionError,107.05304145812988
1786831501.6122284,ERROR:ConnectionError,81.06398582458496
1786831501.5985174,ERROR:ConnectionError,95.24726867675781
1786831501.6019626,ERROR:ConnectionError,93.86563301086426
1786831501.6050844,ERROR:ConnectionError,96.17209434509277
1786831501.6275034,ERROR:ConnectionError,77.4538516998291
1786831501.5993793,ERROR:ConnectionError,106.12273216247559
1786831501.624416,ERROR:ConnectionError,84.75327491760254
1786831501.6208534,ERROR:ConnectionError,88.78326416015625
1786831501.6251752,ERROR:ConnectionError,89.31541442871094
1786831501.6150172,ERROR:ConnectionError,100.0218391418457
1786831501.6256824,ERROR:ConnectionError,218.71566772460938
1786831501.6346638,ERROR:ConnectionError,212.1105194091797
1786831501.6356938,ERROR:ConnectionError,212.61882781982422
1786831501.637762,ERROR:ConnectionError,214.44058418273926
1786831501.6470115,ERROR:ConnectionError,207.6096534729004
1786831501.6498039,ERROR:ConnectionError,209.72728729248047
1786831501.6515946,ERROR:ConnectionError,211.3628387451172
1786831501.652238,ERROR:ConnectionError,214.55693244934082
1786831501.6602328,ERROR:ConnectionError,210.66045761108398
1786831501.6669972,ERROR:ConnectionError,206.1755657196045
1786831501.6716805,ERROR:ConnectionError,201.9059658050537
1786831501.6586344,ERROR:ConnectionError,217.5002098083496
1786831501.6757793,ERROR:ConnectionError,209.9912166595459
1786831501.6732242,ERROR:ConnectionError,214.07723426818848
1786831501.684169,ERROR:ConnectionError,207.1511745452881
1786831501.6812592,ERROR:ConnectionError,212.0797634124756
1786831501.6933033,ERROR:ConnectionError,201.8890380859375
1786831501.6792333,ERROR:ConnectionError,221.80533409118652
1786831501.6888633,ERROR:ConnectionError,213.01579475402832
1786831501.7150455,ERROR:ConnectionError,187.41655349731445
1786831501.6895285,ERROR:ConnectionError,214.09177780151367
1786831501.6958358,ERROR:ConnectionError,209.8865509033203
1786831501.701268,ERROR:ConnectionError,206.51483535766602
1786831501.7055075,ERROR:ConnectionError,208.0216407775879
1786831501.7091792,ERROR:ConnectionError,207.8561782836914
1786831501.7049663,ERROR:ConnectionError,242.1431541442871
1786831501.6937754,ERROR:ConnectionError,256.9746971130371
1786831501.7096446,ERROR:ConnectionError,285.3846549987793
1786831501.7145193,ERROR:ConnectionError,306.6372871398926
1786831501.844409,ERROR:ConnectionError,189.30888175964355
1786831501.8483493,ERROR:ConnectionError,191.42436981201172
1786831501.8467863,ERROR:ConnectionError,198.042631149292
